id,pos_comm,neg_comm,neutral_comm,total_comments
Koxzz7LDmEE,147,67,186,400
9yqdwbJZtSc,58,6,36,100
lwOQbMcXtfU,45,38,117,200
7Lyo5dCig-U,68,30,102,200
k9bYO7uSnrg,8,8,8,24
7YAAyUFL1GQ,297,73,330,700
cWfTBkTJOH8,86,8,104,198
fcubmjoGH7I,261,47,192,500
eKjiJYkvKwQ,123,26,151,300
JsTptu56GM8,112,38,50,200
giIP0XdT7SA,97,40,63,200
ioFUoNlWR1o,33,26,70,129
5hphhsrctwY,73,35,92,200
3E_fT0aTsjI,226,85,189,500
vgDiV94Hz1I,144,27,229,400
a9Zi-RhcOGs,60,8,32,100
FpZ1sIjQrf4,219,31,250,500
Mq9dxmh6JiE,92,36,72,200
wBjAmThxDpA,2,0,0,2
ktmcO3lVuPc,32,53,21,106
UpONjs5kLPc,0,4,40,44
QB5JOnDYeHY,186,64,250,500
Z4QcwsEbKyo,219,157,124,500
OZ5kXgYW5cE,82,28,90,200
9dobJDxPEzM,189,38,173,400
_MEFyG-IE_I,213,101,86,400
aw28GKtWxBw,181,84,235,500
a9ITIaKzG3A,80,34,86,200
FNh2ZsQkNus,252,62,186,500
bAMinWdgUCg,200,14,86,300
iXexmZm3_j8,83,24,93,200
p7sooI96zPI,0,0,2,2
eLdqkQWUVFI,56,42,202,300
Lf3ER5Ope_s,74,34,90,198
CzJPjtyEZjE,51,4,32,87
o97_jDomyqc,247,46,207,500
kxqeW4v350M,46,18,36,100
s7eVr-OUYkQ,26,0,18,44
PHXkhUJWTXM,63,59,36,158
J_e77K4n6Ts,60,25,115,200
ouJwpthMfkY,177,40,83,300
Cz3Coxi9D3E,129,18,101,248
cNgT8qEQJ3w,203,107,335,645
EHC6sYfF4cg,195,80,225,500
Y2GVVC_cD_E,242,65,293,600
t_LQ0f2GU88,80,19,101,200
4cfL9nTNugM,280,62,158,500
YrTKLZi6rqk,232,36,132,400
J0sg_Au8zX8,54,28,34,116
JvkLPE8efME,295,29,176,500
MMEgnbIVWXc,45,8,26,79
5eSSL8hRU_E,72,9,33,114
lokFoo_QD8c,88,11,101,200
BalEqNEEv2M,38,31,31,100
MHMdv2D7ndc,265,65,170,500
08RHSZvixec,78,48,74,200
rBKYvAdXT-k,34,2,64,100
Wv3RpLvPasE,40,8,41,89
JNzCrIcAnck,228,50,222,500
oSRXEHsORZo,206,50,244,500
3ImE5jhnOt8,232,65,203,500
4dp31MWMjeM,49,41,51,141
nIZb34JnFEw,160,45,192,397
wGQtrwey-TI,94,22,84,200
83ZrTybo2t4,205,74,121,400
4X6a3G_0HjY,243,280,277,800
hwNIzQLtHnU,163,32,105,300
ZaB6kENkGVg,196,44,60,300
LTsSGSi9mqo,162,21,217,400
LHR2gzqUp5M,100,46,154,300
L6QAx5mqFKU,103,35,62,200
o7H7xdjGnCc,61,17,22,100
JPTB93NS_8M,210,13,177,400
0PKthlZtLDo,36,33,31,100
nvAhI3ZjnjU,227,58,215,500
jXj6c7bmxII,35,16,49,100
sjlHnJvXdQs,312,125,363,800
JJc1Tqcu-8E,59,12,29,100
2caEL5ATPX4,51,9,40,100
zqE-ultsWt0,182,64,154,400
pxVO5K8jmdA,133,26,141,300
SF-psoWdSpo,187,41,172,400
00wQYmvfhn4,133,70,97,300
HpHp1Xp5oDo,121,26,53,200
tY0RWL9k1T8,18,8,12,38
Hg6L_7qLIEQ,142,78,180,400
nivfxoep6Rs,312,84,204,600
eJB1gcydsbU,34,14,52,100
DyLE5nI6bXw,14,10,9,33
w7h--c54_O8,87,20,193,300
0d6eJcWYqBc,78,7,15,100
5qkgFES0r-U,239,58,103,400
ftrFGwlYO7w,272,41,187,500
ob4tFhgAecw,1,0,3,4
h4JP6su_mio,62,17,121,200
_oO0pd8VJjY,43,13,44,100
QH0fGSqow3c,16,4,10,30
zgLtEob6X-Q,231,73,396,700
kjNU-dbG3ek,127,74,199,400
LyEY0sNQIGQ,214,42,144,400
U2CqZNd6rgM,44,2,54,100
